,Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,LTM
Дата отчета,En+,,,,,,,,,,,,,,,,,26.06.2018,26.06.2018,28.03.2019,27.03.2020,25.03.2021,31.03.2022,18.08.2022
Валюта отчета,En+,,,,,,,,,,,,,,,,,RUB,RUB,RUB,RUB,RUB,RUB,RUB
"Установленная мощность, ГВт",En+,,,,,,,,,,,,,,,,,,,19.6,19.5,19.5,19.5,
"Установл. тепл. мощность, Гкал/ч",En+,,,,,,,,,,,,,,,,,,,16.0,16.0,16.0,,
"Выработка электроэнергии, ТВт*ч",En+,,,,,,,,,,,,,,,,,,68.4,73.2,77.8,82.2,90.4,90.1
"Ср. цена реализации э/э, руб/кВт*ч",En+,,,,,,,,,,,,,,,,,,983.0,1010.0,952.0,931.0,,
"Отпуск э/э потребителям из сети, млрд кВт*ч",En+,,,,,,,,,,,,,,,,,,84.9,91.4,93.6,97.8,,
"Отпуск тепл.энергии, млн Гкал",En+,,,,,,,,,,,,,,,,,27.4,26.7,27.9,27.3,26.9,28.5,27.9
"Реализация мощности, ГВт",En+,,,,,,,,,,,,,,,,,,169.7,163.5,170.4,178.5,,
"Выручка, млрд руб",En+,,,,,,,,,,,,,,,,,656.9,705.2,776.0,759.9,749.0,1041.0,1193.0
"Операционная прибыль, млрд руб",En+,,,,,,,,,,,,,,,,,112.1,138.3,142.9,63.2,73.0,213.5,258.2
"EBITDA, млрд руб",En+,,,,,,,,,,,,,,,,,155.2,187.9,206.1,137.5,134.6,294.1,335.5
"Чистая прибыль, млрд руб",En+,,,,,,,,,,,,,,,,,91.5,81.8,60.6,55.6,49.5,157.8,161.5
"Операционный денежный поток, млрд руб",En+,,,,,,,,,,,,,,,,,130.7,154.9,107.1,165.8,136.7,159.7,32.7
"CAPEX, млрд руб",En+,,,,,,,,,,,,,,,,,56.0,56.6,63.6,68.6,81.6,111.5,109.2
"FCF, млрд руб",En+,,,,,,,,,,,,,,,,,17.9,73.4,55.0,104.4,69.8,125.6,50.1
"Див.выплата, млрд руб",En+,,,,,,,,,,,,,,,,,,22.5,,,,,
"Дивиденд, руб/акцию",En+,,,,,,,,,,,,,,,,,,39.4,,,,,
"Див доход, ао, %",En+,,,,,,,,,,,,,,,,,,0.049,0.0,0.0,0.0,0.0,0.0
"Дивиденды/прибыль, %",En+,,,,,,,,,,,,,,,,,0.0,0.27,0.0,0.0,0.0,0.0,0.0
"Опер. расходы, млрд руб",En+,,,,,,,,,,,,,,,,,86.7,102.4,118.4,123.2,111.2,151.3,171.7
"Себестоимость, млрд руб",En+,,,,,,,,,,,,,,,,,457.6,464.7,514.6,573.8,563.2,675.8,762.4
"Расх на персонал, млрд руб",En+,,,,,,,,,,,,,,,,,78.5,82.2,86.7,85.2,90.6,106.5,
"Процентные расходы, млрд руб",En+,,,,,,,,,,,,,,,,,71.2,65.1,55.2,66.0,56.2,51.8,62.2
"Активы, млрд руб",En+,,,,,,,,,,,,,,,,,1363.0,1273.0,1334.0,1488.0,1674.0,1936.0,1695.0
"Чистые активы, млрд руб",En+,,,,,,,,,,,,,,,,,132.5,252.6,184.4,268.1,233.2,429.0,431.9
"Долг, млрд руб",En+,,,,,,,,,,,,,,,,,861.6,750.5,852.8,772.7,915.2,810.6,678.0
"Наличность, млрд руб",En+,,,,,,,,,,,,,,,,,40.6,56.1,82.2,141.0,189.3,173.1,92.8
"Чистый долг, млрд руб",En+,,,,,,,,,,,,,,,,,821.1,694.4,770.6,631.7,725.9,637.5,585.2
"Цена акции ао, руб",En+,,,,,,,,,,,,,,,,,,805.4,418.9,645.0,774.0,885.0,389.5
"Число акций ао, млн",En+,,,,,,,,,,,,,,,,,638.8,638.8,638.8,638.8,638.8,638.8,638.8
"Free Float, %",En+,,,,,,,,,,,,,,,,,,,,0.0973,0.0973,0.14,
"Капитализация, млрд руб",En+,,,,,,,,,,,,,,,,,0.0,514.5,267.6,412.1,494.5,565.4,248.8
"EV, млрд руб",En+,,,,,,,,,,,,,,,,,821.1,1209.0,1038.0,1044.0,1220.0,1203.0,834.0
"Баланс стоимость, млрд руб",En+,,,,,,,,,,,,,,,,,-6.97,114.8,32.0,121.0,72.0,265.6,289.8
"EPS, руб",En+,,,,,,,,,,,,,,,,,143.1,128.1,94.9,87.0,77.4,247.0,252.8
"FCF/акцию, руб",En+,,,,,,,,,,,,,,,,,28.0,114.8,86.1,163.4,109.3,196.6,78.5
